CustomerID,CustomerName,CustomerAddress,CustomerPhone,CustomerEmail
1,Customer 1,"624 Main St, City 1, State FL, ZIP 74246",871-144-6040,customer1@example.com
2,Customer 2,"966 Main St, City 2, State CA, ZIP 65675",578-217-6950,customer2@example.com
3,Customer 3,"645 Main St, City 3, State FL, ZIP 44795",361-912-2600,customer3@example.com
4,Customer 4,"220 Main St, City 4, State IL, ZIP 46232",682-317-7585,customer4@example.com
5,Customer 5,"594 Main St, City 5, State IL, ZIP 58479",564-541-4598,customer5@example.com
6,Customer 6,"759 Main St, City 6, State CA, ZIP 94087",922-213-9378,customer6@example.com
7,Customer 7,"592 Main St, City 7, State IL, ZIP 61411",176-943-8394,customer7@example.com
8,Customer 8,"437 Main St, City 8, State CA, ZIP 29560",238-302-2164,customer8@example.com
9,Customer 9,"532 Main St, City 9, State NY, ZIP 63578",774-172-9674,customer9@example.com
10,Customer 10,"581 Main St, City 10, State TX, ZIP 15318",104-813-2634,customer10@example.com
11,Customer 11,"699 Main St, City 11, State NY, ZIP 38940",873-668-3446,customer11@example.com
12,Customer 12,"387 Main St, City 12, State NY, ZIP 66404",819-829-4665,customer12@example.com
13,Customer 13,"131 Main St, City 13, State FL, ZIP 31423",283-487-3549,customer13@example.com
14,Customer 14,"111 Main St, City 14, State TX, ZIP 96436",647-164-5047,customer14@example.com
15,Customer 15,"647 Main St, City 15, State NY, ZIP 15736",403-678-2268,customer15@example.com
16,Customer 16,"756 Main St, City 16, State FL, ZIP 32062",107-688-7481,customer16@example.com
17,Customer 17,"705 Main St, City 17, State FL, ZIP 81773",172-603-2926,customer17@example.com
18,Customer 18,"927 Main St, City 18, State FL, ZIP 89273",253-100-5839,customer18@example.com
19,Customer 19,"695 Main St, City 19, State FL, ZIP 27989",554-100-8435,customer19@example.com
20,Customer 20,"392 Main St, City 20, State FL, ZIP 73896",336-814-6255,customer20@example.com
21,Customer 21,"607 Main St, City 21, State IL, ZIP 70027",283-236-5323,customer21@example.com
22,Customer 22,"350 Main St, City 22, State FL, ZIP 74956",653-102-6688,customer22@example.com
23,Customer 23,"675 Main St, City 23, State TX, ZIP 70312",121-177-5094,customer23@example.com
24,Customer 24,"520 Main St, City 24, State NY, ZIP 15350",892-870-2635,customer24@example.com
25,Customer 25,"701 Main St, City 25, State CA, ZIP 29300",335-809-9508,customer25@example.com
26,Customer 26,"728 Main St, City 26, State IL, ZIP 41093",317-691-4096,customer26@example.com
27,Customer 27,"648 Main St, City 27, State NY, ZIP 20458",797-762-3952,customer27@example.com
28,Customer 28,"121 Main St, City 28, State IL, ZIP 62037",733-533-1270,customer28@example.com
29,Customer 29,"871 Main St, City 29, State FL, ZIP 84411",224-979-6167,customer29@example.com
30,Customer 30,"904 Main St, City 30, State IL, ZIP 35412",180-255-4057,customer30@example.com
31,Customer 31,"694 Main St, City 31, State CA, ZIP 23123",362-113-1768,customer31@example.com
32,Customer 32,"346 Main St, City 32, State CA, ZIP 60471",420-198-9045,customer32@example.com
33,Customer 33,"628 Main St, City 33, State NY, ZIP 69579",929-641-6115,customer33@example.com
34,Customer 34,"507 Main St, City 34, State NY, ZIP 72770",888-207-5177,customer34@example.com
35,Customer 35,"669 Main St, City 35, State TX, ZIP 87027",255-180-6231,customer35@example.com
36,Customer 36,"513 Main St, City 36, State FL, ZIP 84850",829-412-8348,customer36@example.com
37,Customer 37,"537 Main St, City 37, State IL, ZIP 21157",397-584-9207,customer37@example.com
38,Customer 38,"370 Main St, City 38, State CA, ZIP 83687",112-527-1768,customer38@example.com
39,Customer 39,"823 Main St, City 39, State IL, ZIP 12618",216-779-5260,customer39@example.com
40,Customer 40,"207 Main St, City 40, State NY, ZIP 50917",889-289-1238,customer40@example.com
41,Customer 41,"276 Main St, City 41, State NY, ZIP 48686",891-968-7507,customer41@example.com
42,Customer 42,"436 Main St, City 42, State FL, ZIP 34799",937-799-4221,customer42@example.com
